Open,High,Low,Close,Adj Close,Volume
183.97999572753906,184.07000732421875,182.47999572753906,182.9199981689453,151.24290466308594,119636900
183.22999572753906,183.60000610351562,182.6300048828125,182.88999938964844,151.2180633544922,81390600
183.49000549316406,183.55999755859375,182.0800018310547,182.36000061035156,150.77993774414062,108028200
183.08999633789062,183.7899932861328,182.9499969482422,183.47999572753906,151.70599365234375,86144200
183.4499969482422,183.8300018310547,182.88999938964844,183.52000427246094,151.73902893066406,96582300
184.11000061035156,184.1300048828125,182.8000030517578,183.63999938964844,151.83822631835938,90683400
183.9499969482422,184.22000122070312,183.00999450683594,184.13999938964844,152.25164794921875,102026400
183.6699981689453,184.17999267578125,181.33999633789062,181.69000244140625,150.2259979248047,149892000
182.2899932861328,183.77000427246094,181.9499969482422,183.6699981689453,151.86305236816406,105016100
184.10000610351562,184.94000244140625,183.7100067138672,184.66000366210938,152.68161010742188,98525800
184.27999877929688,184.66000366210938,183.8300018310547,184.4199981689453,152.48318481445312,72290600
184.10000610351562,184.4499969482422,183.32000732421875,183.63999938964844,151.83822631835938,107848700
184.6999969482422,184.77000427246094,183.0500030517578,184.17999267578125,152.2847442626953,88621200
184.49000549316406,184.57000732421875,183.91000366210938,184.3000030517578,152.3839111328125,61270900
183.3699951171875,183.39999389648438,181.82000732421875,182.7899932861328,151.1354522705078,132496900
181.60000610351562,181.66000366210938,178.8300018310547,178.88999938964844,147.9108123779297,208677100
179.05999755859375,179.52000427246094,177.1199951171875,178.00999450683594,147.1832275390625,180843100
178.13999938964844,179.3000030517578,178.1199951171875,179.07000732421875,148.0596466064453,110463200
177.5800018310547,178.5500030517578,176.8800048828125,177.35000610351562,146.63751220703125,216597300
178.8300018310547,179.80999755859375,178.25999450683594,179.22999572753906,148.19192504882812,118938100
177.00999450683594,179.2899932861328,176.9199981689453,178.17999267578125,147.32374572753906,194677900
177.97000122070312,178.3699951171875,173.8300018310547,174.1699981689453,144.0081787109375,254837100
174.9499969482422,175.83999633789062,174.11000061035156,175.38999938964844,145.01693725585938,165012400
174.77999877929688,175.55999755859375,173.7100067138672,175.1699981689453,144.8350830078125,164230500
175.5800018310547,177.47999572753906,175.22000122070312,177.47999572753906,146.74501037597656,132877600
178.30999755859375,179.8699951171875,177.72999572753906,179.67999267578125,148.56402587890625,170787200
179.6999969482422,180.07000732421875,179.2100067138672,180.00999450683594,148.83688354492188,92218800
180.16000366210938,182.44000244140625,180.0399932861328,181.97999572753906,150.4656982421875,117814100
182.25,182.8300018310547,181.7100067138672,182.07000732421875,150.54013061523438,94717700
180.83999633789062,183.1999969482422,180.8300018310547,183.00999450683594,151.3173370361328,100542200
182.83999633789062,184.36000061035156,182.6699981689453,184.02000427246094,152.1524658203125,96498400
184.17999267578125,184.49000549316406,183.64999389648438,184.24000549316406,152.3344268798828,80460900
183.75999450683594,184.9499969482422,182.8699951171875,183.02000427246094,151.32562255859375,126524300
183.27000427246094,184.52000427246094,182.60000610351562,184.10000610351562,152.2186279296875,104998100
184.4499969482422,184.88999938964844,183.8000030517578,183.88999938964844,152.0449676513672,118116400
184.27999877929688,186.14999389648438,184.1999969482422,184.91000366210938,152.8882598876953,114063900
185.05999755859375,185.58999633789062,184.22999572753906,184.83999633789062,152.83045959472656,117085000
185.11000061035156,185.60000610351562,184.3300018310547,184.85000610351562,152.83871459960938,98677200
184.5800018310547,185.8699951171875,184.3699951171875,185.82000732421875,153.6407470703125,93880800
185.7899932861328,187.14999389648438,185.0500030517578,186.2899932861328,154.02932739257812,150842000
184.64999389648438,185.4499969482422,183.75,184.97999572753906,152.94618225097656,167748500
186.7899932861328,187.97999572753906,186.75,187.5800018310547,155.09597778320312,167545900
187.74000549316406,188.07000732421875,187.4499969482422,187.75,155.2365264892578,88376900
188.2100067138672,188.61000061035156,187.77999877929688,188.17999267578125,155.59201049804688,82516500
188.9600067138672,188.9600067138672,187.42999267578125,188.25999450683594,155.65817260742188,114513500
187.97000122070312,188.22999572753906,187.0800018310547,188.16000366210938,155.5754852294922,74939200
188.44000244140625,188.7100067138672,186.8000030517578,187.22999572753906,154.8065643310547,99009100
186.32000732421875,187.35000610351562,185.89999389648438,187.27999877929688,154.8478546142578,104824400
187.83999633789062,187.99000549316406,184.66000366210938,185.17999267578125,153.1115264892578,155014300
184.85000610351562,185.8000030517578,184.44000244140625,184.66000366210938,152.68161010742188,153919600
185.58999633789062,186.77000427246094,185.50999450683594,186.3300018310547,154.06240844726562,98359500
186.7100067138672,187.91000366210938,186.50999450683594,187.66000366210938,155.16209411621094,101804600
187.67999267578125,187.94000244140625,185.47000122070312,186.66000366210938,154.33523559570312,176267300
186.25,187.88999938964844,185.9199981689453,187.75,155.2365264892578,117241000
187.7100067138672,189.02000427246094,186.02999877929688,186.1999969482422,154.63442993164062,163128000
186.83999633789062,187.07000732421875,184.6199951171875,185.42999267578125,153.99493408203125,121411000
186.3699951171875,186.94000244140625,185.27000427246094,186.30999755859375,154.7257537841797,103852000
187.0399932861328,187.33999633789062,184.9199981689453,184.97000122070312,153.61293029785156,119843000
184.75,185.33999633789062,183.89999389648438,184.5800018310547,153.2890625,142383000
185.11000061035156,186.4199981689453,185.0,185.49000549316406,154.04478454589844,101642000
186.6699981689453,187.3000030517578,185.52000427246094,187.00999450683594,155.30706787109375,99745000
187.6199951171875,188.36000061035156,187.0,188.25,156.3368682861328,89193000
188.49000549316406,189.1300048828125,188.13999938964844,188.8800048828125,156.86012268066406,78774000
189.1699981689453,189.22000122070312,188.0500030517578,188.6300048828125,156.65248107910156,77435000
