Symbol,Company Name,Market Cap
SPG,"Simon Property Group, Inc.",67.43B
WMB,"The Williams Companies, Inc.",66.35B
RCL,Royal Caribbean Cruises Ltd.,65.92B
CARR,Carrier Global Corporation,65.51B
RSG,"Republic Services, Inc.",65.44B
ADSK,"Autodesk, Inc.",65.26B
BDX,"Becton, Dickinson and Company",65.21B
CSX,CSX Corporation,64.10B
DLR,"Digital Realty Trust, Inc.",62.56B
AJG,Arthur J. Gallagher & Co.,62.45B
CVS,CVS Health Corporation,62.13B
TGT,Target Corporation,61.64B
HLT,Hilton Worldwide Holdings Inc.,61.62B
TFC,Truist Financial Corporation,60.77B
OKE,"ONEOK, Inc.",60.77B
CHTR,"Charter Communications, Inc.",60.50B
FCX,Freeport-McMoRan Inc.,59.76B
KMI,"Kinder Morgan, Inc.",59.72B
PCAR,PACCAR Inc,59.25B
CPRT,"Copart, Inc.",59.00B
ROP,"Roper Technologies, Inc.",58.30B
AFL,Aflac Incorporated,58.06B
GM,General Motors Company,57.76B
MET,"MetLife, Inc.",57.46B
BK,The Bank of New York Mellon Corporation,57.32B
SLB,Schlumberger Limited,56.80B
AZO,"AutoZone, Inc.",56.65B
SRE,Sempra,56.47B
TRV,"The Travelers Companies, Inc.",55.91B
PSA,Public Storage,55.78B
NSC,Norfolk Southern Corporation,55.70B
GWW,"W.W. Grainger, Inc.",55.65B
NXPI,NXP Semiconductors N.V.,55.11B
JCI,Johnson Controls International plc,54.72B
AMP,"Ameriprise Financial, Inc.",53.33B
FICO,Fair Isaac Corporation,52.81B
ALL,The Allstate Corporation,51.97B
MNST,Monster Beverage Corporation,51.31B
URI,"United Rentals, Inc.",51.11B
PAYX,"Paychex, Inc.",50.74B
PSX,Phillips 66,50.68B
ROST,"Ross Stores, Inc.",50.65B
CMI,Cummins Inc.,50.42B
PWR,"Quanta Services, Inc.",49.83B
AEP,"American Electric Power Company, Inc.",49.37B
VST,Vistra Corp.,49.30B
AXON,"Axon Enterprise, Inc.",49.18B
MSCI,MSCI Inc.,48.99B
O,Realty Income Corporation,48.58B
DHI,"D.R. Horton, Inc.",48.13B
LULU,Lululemon Athletica Inc.,47.69B
FANG,"Diamondback Energy, Inc.",47.69B
MPC,Marathon Petroleum Corporation,46.78B
HWM,Howmet Aerospace Inc.,46.08B
NDAQ,"Nasdaq, Inc.",46.05B
NEM,Newmont Corporation,45.59B
KDP,Keurig Dr Pepper Inc.,45.51B
AIG,"American International Group, Inc.",45.45B
D,"Dominion Energy, Inc.",45.39B
FIS,"Fidelity National Information Services, Inc.",45.28B
FAST,Fastenal Company,44.95B
KR,The Kroger Co.,44.91B
TEL,TE Connectivity plc,44.90B
COR,"Cencora, Inc.",44.89B
OXY,Occidental Petroleum Corporation,44.70B
DFS,Discover Financial Services,44.19B
KMB,Kimberly-Clark Corporation,43.80B
STZ,"Constellation Brands, Inc.",43.51B
AME,"AMETEK, Inc.",43.34B
PEG,Public Service Enterprise Group Incorporated,43.25B
EW,Edwards Lifesciences Corporation,43.24B
HES,Hess Corporation,43.06B
PRU,"Prudential Financial, Inc.",42.89B
ODFL,"Old Dominion Freight Line, Inc.",42.85B
KVUE,Kenvue Inc.,42.58B
LHX,"L3Harris Technologies, Inc.",42.33B
PCG,PG&E Corporation,42.21B
CCI,Crown Castle Inc.,42.20B
LEN,Lennar Corporation,41.88B
BKR,Baker Hughes Company,41.71B
GRMN,Garmin Ltd.,41.36B
EA,Electronic Arts Inc.,41.34B
CBRE,"CBRE Group, Inc.",41.30B
F,Ford Motor Company,41.29B
GLW,Corning Incorporated,41.23B
CTVA,"Corteva, Inc.",40.89B
VLO,Valero Energy Corporation,40.88B
IR,Ingersoll Rand Inc.,40.74B
TRGP,Targa Resources Corp.,40.26B
VRSK,"Verisk Analytics, Inc.",40.01B
CTSH,Cognizant Technology Solutions Corporation,39.70B
A,"Agilent Technologies, Inc.",39.64B
DAL,"Delta Air Lines, Inc.",39.44B
SYY,Sysco Corporation,39.28B
IT,"Gartner, Inc.",39.22B
XEL,Xcel Energy Inc.,39.12B
OTIS,Otis Worldwide Corporation,39.06B
LVS,Las Vegas Sands Corp.,39.06B
KHC,The Kraft Heinz Company,38.32B
YUM,"Yum! Brands, Inc.",38.23B
GEHC,GE HealthCare Technologies Inc.,37.05B
HSY,The Hershey Company,37.05B
EXC,Exelon Corporation,37.05B
GIS,"General Mills, Inc.",37.02B
VMC,Vulcan Materials Company,36.42B
IQV,IQVIA Holdings Inc.,36.13B
IDXX,"IDEXX Laboratories, Inc.",35.38B
ACGL,Arch Capital Group Ltd.,35.01B
RMD,ResMed Inc.,35.00B
WAB,Westinghouse Air Brake Technologies Corporation,34.98B
EXR,Extra Space Storage Inc.,34.90B
DD,"DuPont de Nemours, Inc.",33.79B
MLM,"Martin Marietta Materials, Inc.",33.67B
CCL,Carnival Corporation & plc,33.64B
ROK,"Rockwell Automation, Inc.",33.55B
MTB,M&T Bank Corporation,33.07B
HUM,Humana Inc.,33.01B
EFX,Equifax Inc.,32.95B
IRM,Iron Mountain Incorporated,32.84B
VICI,VICI Properties Inc.,32.82B
RJF,"Raymond James Financial, Inc.",32.75B
TTWO,"Take-Two Interactive Software, Inc.",32.58B
HIG,"The Hartford Financial Services Group, Inc.",32.49B
HPQ,HP Inc.,32.40B
MCHP,Microchip Technology Incorporated,32.18B
AVB,"AvalonBay Communities, Inc.",32.16B
ED,"Consolidated Edison, Inc.",32.11B
ETR,Entergy Corporation,31.84B
EIX,Edison International,31.70B
DECK,Deckers Outdoor Corporation,31.39B
WTW,Willis Towers Watson Public Limited Company,31.36B
LYV,"Live Nation Entertainment, Inc.",31.35B
UAL,"United Airlines Holdings, Inc.",31.28B
CSGP,"CoStar Group, Inc.",30.78B
EBAY,eBay Inc.,30.58B
FITB,Fifth Third Bancorp,30.54B
TSCO,Tractor Supply Company,30.50B
WEC,"WEC Energy Group, Inc.",30.29B
DXCM,"DexCom, Inc.",30.15B
CNC,Centene Corporation,30.00B
BRO,"Brown & Brown, Inc.",29.79B
ANSS,"ANSYS, Inc.",29.75B
MPWR,"Monolithic Power Systems, Inc.",29.68B
WBD,"Warner Bros. Discovery, Inc.",29.61B
STT,State Street Corporation,29.45B
NUE,Nucor Corporation,29.41B
XYL,Xylem Inc.,29.30B
GPN,Global Payments Inc.,29.07B
GDDY,GoDaddy Inc.,29.03B
PPG,"PPG Industries, Inc.",28.77B
KEYS,"Keysight Technologies, Inc.",28.74B
EL,The Estée Lauder Companies Inc.,28.73B
DOW,Dow Inc.,28.70B
EQR,Equity Residential,28.65B
CAH,"Cardinal Health, Inc.",28.58B
HPE,Hewlett Packard Enterprise Company,28.31B
ON,ON Semiconductor Corporation,28.09B
SW,Smurfit Westrock Plc,27.84B
K,Kellanova,27.77B
DOV,Dover Corporation,27.58B
TPL,Texas Pacific Land Corporation,27.55B
BR,"Broadridge Financial Solutions, Inc.",27.30B
EQT,EQT Corporation,27.20B
MTD,Mettler-Toledo International Inc.,26.95B
FTV,Fortive Corporation,26.67B
TROW,"T. Rowe Price Group, Inc.",26.56B
SYF,Synchrony Financial,26.50B
NVR,"NVR, Inc.",26.31B
TYL,"Tyler Technologies, Inc.",26.18B
CHD,"Church & Dwight Co., Inc.",25.88B
VLTO,Veralto Corporation,25.77B
VTR,"Ventas, Inc.",25.34B
AWK,"American Water Works Company, Inc.",25.26B
HAL,Halliburton Company,25.20B
DTE,DTE Energy Company,25.12B
ADM,Archer-Daniels-Midland Company,25.08B
HBAN,Huntington Bancshares Incorporated,24.94B
CPAY,"Corpay, Inc.",24.89B
NTAP,"NetApp, Inc.",24.79B
LYB,LyondellBasell Industries N.V.,24.57B
HUBB,Hubbell Incorporated,24.35B
PHM,"PulteGroup, Inc.",24.29B
AEE,Ameren Corporation,23.98B
WST,"West Pharmaceutical Services, Inc.",23.90B
PTC,PTC Inc.,23.87B
PPL,PPL Corporation,23.83B
CINF,Cincinnati Financial Corporation,23.79B
ROL,"Rollins, Inc.",23.62B
EXPE,"Expedia Group, Inc.",23.49B
CDW,CDW Corporation,23.46B
FE,FirstEnergy Corp.,23.21B
WRB,W. R. Berkley Corporation,23.15B
SBAC,SBA Communications Corporation,23.04B
RF,Regions Financial Corporation,22.82B
WDC,Western Digital Corporation,22.51B
WAT,Waters Corporation,22.46B
IFF,International Flavors & Fragrances Inc.,22.35B
DVN,Devon Energy Corporation,22.26B
TDY,Teledyne Technologies Incorporated,22.14B
ERIE,Erie Indemnity Company,22.00B
BIIB,Biogen Inc.,21.86B
ATO,Atmos Energy Corporation,21.85B
WY,Weyerhaeuser Company,21.84B
ES,Eversource Energy,21.81B
MKC,"McCormick & Company, Incorporated",21.62B
TSN,"Tyson Foods, Inc.",21.52B
FOXA,Fox Corporation,21.50B
FSLR,"First Solar, Inc.",21.38B
SMCI,"Super Micro Computer, Inc.",21.34B
BF.B,Brown-Forman Corporation,21.26B
ZBH,"Zimmer Biomet Holdings, Inc.",21.25B
PKG,Packaging Corporation of America,21.23B
STE,STERIS plc,21.15B
CBOE,"Cboe Global Markets, Inc.",21.04B
FOX,Fox Corporation,20.95B
ZBRA,Zebra Technologies Corporation,20.82B
CNP,"CenterPoint Energy, Inc.",20.82B
NTRS,Northern Trust Corporation,20.81B
LDOS,"Leidos Holdings, Inc.",20.44B
CLX,The Clorox Company,20.41B
INVH,Invitation Homes Inc.,20.32B
STX,Seagate Technology Holdings plc,20.25B
CFG,"Citizens Financial Group, Inc.",20.14B
CMS,CMS Energy Corporation,20.11B
TER,"Teradyne, Inc.",20.07B
ESS,"Essex Property Trust, Inc.",19.97B
LUV,Southwest Airlines Co.,19.80B
ULTA,"Ulta Beauty, Inc.",19.67B
DRI,"Darden Restaurants, Inc.",19.59B
LH,Labcorp Holdings Inc.,19.41B
IP,International Paper Company,19.30B
NRG,"NRG Energy, Inc.",19.24B
BLDR,"Builders FirstSource, Inc.",19.15B
VRSN,"VeriSign, Inc.",18.97B
COO,"The Cooper Companies, Inc.",18.93B
PODD,Insulet Corporation,18.89B
MAA,"Mid-America Apartment Communities, Inc.",18.86B
BBY,"Best Buy Co., Inc.",18.73B
CTRA,Coterra Energy Inc.,18.66B
SNA,Snap-on Incorporated,18.64B
STLD,"Steel Dynamics, Inc.",18.63B
FDS,FactSet Research Systems Inc.,18.57B
GEN,Gen Digital Inc.,18.40B
L,Loews Corporation,18.33B
JBHT,"J.B. Hunt Transport Services, Inc.",18.13B
HRL,Hormel Foods Corporation,18.08B
PFG,"Principal Financial Group, Inc.",18.05B
KEY,KeyCorp,17.97B
TRMB,Trimble Inc.,17.97B
ARE,"Alexandria Real Estate Equities, Inc.",17.94B
PNR,Pentair plc,17.71B
OMC,Omnicom Group Inc.,17.62B
