Symbol,Company Name,Market Cap
SPG,"Simon Property Group, Inc.",66.91B
WMB,"The Williams Companies, Inc.",66.36B
CARR,Carrier Global Corporation,65.80B
RCL,Royal Caribbean Cruises Ltd.,65.76B
RSG,"Republic Services, Inc.",65.63B
BDX,"Becton, Dickinson and Company",65.41B
ADSK,"Autodesk, Inc.",65.19B
CSX,CSX Corporation,64.67B
DLR,"Digital Realty Trust, Inc.",62.94B
CVS,CVS Health Corporation,62.49B
AJG,Arthur J. Gallagher & Co.,62.26B
HLT,Hilton Worldwide Holdings Inc.,61.63B
TGT,Target Corporation,61.57B
OKE,"ONEOK, Inc.",60.73B
TFC,Truist Financial Corporation,60.56B
CHTR,"Charter Communications, Inc.",60.31B
KMI,"Kinder Morgan, Inc.",59.73B
FCX,Freeport-McMoRan Inc.,59.68B
PCAR,PACCAR Inc,59.17B
CPRT,"Copart, Inc.",59.09B
AFL,Aflac Incorporated,58.24B
ROP,"Roper Technologies, Inc.",58.12B
GM,General Motors Company,57.88B
BK,The Bank of New York Mellon Corporation,57.59B
SLB,Schlumberger Limited,57.45B
MET,"MetLife, Inc.",57.35B
SRE,Sempra,56.66B
AZO,"AutoZone, Inc.",56.45B
PSA,Public Storage,56.00B
NSC,Norfolk Southern Corporation,55.97B
TRV,"The Travelers Companies, Inc.",55.95B
GWW,"W.W. Grainger, Inc.",55.73B
JCI,Johnson Controls International plc,55.01B
NXPI,NXP Semiconductors N.V.,54.97B
AMP,"Ameriprise Financial, Inc.",53.16B
FICO,Fair Isaac Corporation,52.91B
ALL,The Allstate Corporation,52.22B
MNST,Monster Beverage Corporation,51.13B
PSX,Phillips 66,50.93B
URI,"United Rentals, Inc.",50.89B
ROST,"Ross Stores, Inc.",50.87B
PAYX,"Paychex, Inc.",50.86B
CMI,Cummins Inc.,50.34B
PWR,"Quanta Services, Inc.",49.89B
AEP,"American Electric Power Company, Inc.",49.65B
VST,Vistra Corp.,49.61B
AXON,"Axon Enterprise, Inc.",49.25B
MSCI,MSCI Inc.,48.77B
O,Realty Income Corporation,48.58B
DHI,"D.R. Horton, Inc.",47.83B
FANG,"Diamondback Energy, Inc.",47.67B
LULU,Lululemon Athletica Inc.,47.27B
MPC,Marathon Petroleum Corporation,46.98B
NDAQ,"Nasdaq, Inc.",46.22B
HWM,Howmet Aerospace Inc.,46.06B
NEM,Newmont Corporation,45.91B
KDP,Keurig Dr Pepper Inc.,45.90B
AIG,"American International Group, Inc.",45.78B
KR,The Kroger Co.,45.61B
D,"Dominion Energy, Inc.",45.50B
FIS,"Fidelity National Information Services, Inc.",45.36B
FAST,Fastenal Company,44.94B
OXY,Occidental Petroleum Corporation,44.90B
COR,"Cencora, Inc.",44.87B
TEL,TE Connectivity plc,44.82B
DFS,Discover Financial Services,44.19B
KMB,Kimberly-Clark Corporation,43.94B
STZ,"Constellation Brands, Inc.",43.75B
AME,"AMETEK, Inc.",43.48B
EW,Edwards Lifesciences Corporation,43.36B
PEG,Public Service Enterprise Group Incorporated,43.26B
HES,Hess Corporation,43.16B
ODFL,"Old Dominion Freight Line, Inc.",42.95B
PRU,"Prudential Financial, Inc.",42.74B
KVUE,Kenvue Inc.,42.56B
LHX,"L3Harris Technologies, Inc.",42.42B
PCG,PG&E Corporation,42.33B
CCI,Crown Castle Inc.,42.25B
BKR,Baker Hughes Company,42.06B
LEN,Lennar Corporation,41.40B
GRMN,Garmin Ltd.,41.24B
F,Ford Motor Company,41.21B
GLW,Corning Incorporated,41.13B
VLO,Valero Energy Corporation,41.12B
EA,Electronic Arts Inc.,41.10B
CBRE,"CBRE Group, Inc.",40.99B
CTVA,"Corteva, Inc.",40.86B
IR,Ingersoll Rand Inc.,40.73B
TRGP,Targa Resources Corp.,40.37B
VRSK,"Verisk Analytics, Inc.",39.98B
